task,cand_name,cand_pos,cand_neg,method,slope,slope_std,mean_of_means,std_across_templates,worst_case_mean,anti_mean,anti_worst,basis_source,basis_k,v_est_templates,sharedness_decode_est
boolq,yes/no,yes,no,decode_est,0.0015869140152062768,0.0,0.0015869140625,0.002389482920989394,-0.00042724609375,0.3515625,0.3828125,multitask,512,all,0.8651685826868406
boolq,yes/no,yes,no,decode_beta0.25,-0.0003051757721550533,0.0,-0.00030517578125,0.0014975395752117038,-0.001708984375,0.3815104067325592,0.3984375,multitask,512,all,0.8651685826868406
boolq,yes/no,yes,no,decode_beta0.5,6.1035154431010644e-05,0.0,6.103515625e-05,0.0013409225502982736,-0.00128173828125,0.3684895932674408,0.40625,multitask,512,all,0.8651685826868406
boolq,yes/no,yes,no,decode_beta0.75,0.0003255208236320568,0.0,0.00032552084303461015,0.0027251739520579576,-0.00341796875,0.3463541567325592,0.40234375,multitask,512,all,0.8651685826868406
boolq,yes/no,yes,no,decode_fixed,0.0030924478245045396,0.0,0.0030924479942768812,0.003991883713752031,-0.00164794921875,0.3177083432674408,0.37109375,multitask,512,all,0.8651685826868406
boolq,yes/no,yes,no,rand_matched,-0.00048828123544808504,0.007928921009132256,-0.00048828125,0.001370344660244882,-0.0020385743118822575,0.3843750059604645,0.40703123807907104,multitask,512,all,0.8651685826868406
sst2,Good/Bad,Good,Bad,decode_est,0.03175862535560254,0.0,0.0317586250603199,0.00596238486468792,0.02337646484375,0.09765625,0.12890625,multitask,512,all,0.884037409608041
sst2,Good/Bad,Good,Bad,decode_beta0.25,0.033182778958992784,0.0,0.0331827811896801,0.006116590462625027,0.0245361328125,0.0872395858168602,0.109375,multitask,512,all,0.884037409608041
sst2,Good/Bad,Good,Bad,decode_beta0.5,0.034566242459429034,0.0,0.0345662422478199,0.006423561833798885,0.0263671875,0.08984375,0.12109375,multitask,512,all,0.884037409608041
sst2,Good/Bad,Good,Bad,decode_beta0.75,0.033671060194440876,0.0,0.0336710624396801,0.00747729791328311,0.0263671875,0.0872395858168602,0.1171875,multitask,512,all,0.884037409608041
sst2,Good/Bad,Good,Bad,decode_fixed,0.025553384655116456,0.0,0.02555338479578495,0.009074121713638306,0.016357421875,0.1015625,0.16796875,multitask,512,all,0.884037409608041
sst2,Good/Bad,Good,Bad,rand_matched,-0.0009114583061697601,0.01694022376130606,-0.0009114583372138441,0.0024121853057295084,-0.0033325194381177425,0.3817708492279053,0.4359374940395355,multitask,512,all,0.884037409608041
csqa_pair,1/2,1,2,decode_est,0.004740396994141827,0.0,0.0047403969801962376,0.009257289581000805,-0.00494384765625,0.3229166567325592,0.43359375,multitask,512,all,0.9754643869517634
csqa_pair,1/2,1,2,decode_beta0.25,0.005228678229589912,0.0,0.0052286782301962376,0.009814374148845673,-0.004638671875,0.3138020932674408,0.4296875,multitask,512,all,0.9754643869517634
csqa_pair,1/2,1,2,decode_beta0.5,0.007934570076031384,0.0,0.0079345703125,0.009295128285884857,-0.00152587890625,0.2838541567325592,0.37109375,multitask,512,all,0.9754643869517634
csqa_pair,1/2,1,2,decode_beta0.75,0.009602864297145675,0.0,0.009602864272892475,0.00851352233439684,-0.00042724609375,0.2760416567325592,0.37890625,multitask,512,all,0.9754643869517634
csqa_pair,1/2,1,2,decode_fixed,0.014526366754580534,0.0,0.0145263671875,0.003117377171292901,0.0106201171875,0.2005208283662796,0.234375,multitask,512,all,0.9754643869517634
csqa_pair,1/2,1,2,rand_matched,0.005635579259129984,0.011770381568049597,0.0056355795823037624,0.003802959807217121,0.0003540039178915322,0.31458333134651184,0.3531250059604645,multitask,512,all,0.9754643869517634
arc_challenge_pair,1/2,1,2,decode_est,0.012573241812788192,0.0,0.0125732421875,0.0038909611757844687,0.0079345703125,0.2174479216337204,0.25,multitask,512,all,0.9403928346199398
arc_challenge_pair,1/2,1,2,decode_beta0.25,0.013570149335161366,0.0,0.013570149429142475,0.003630893537774682,0.010009765625,0.2174479216337204,0.25,multitask,512,all,0.9403928346199398
arc_challenge_pair,1/2,1,2,decode_beta0.5,0.010559081716564842,0.0,0.01055908203125,0.0032815502490848303,0.00811767578125,0.2369791716337204,0.25390625,multitask,512,all,0.9403928346199398
arc_challenge_pair,1/2,1,2,decode_beta0.75,0.009073892958743583,0.0,0.009073893539607525,0.003969736397266388,0.0048828125,0.2513020932674408,0.30859375,multitask,512,all,0.9403928346199398
arc_challenge_pair,1/2,1,2,decode_fixed,-0.0024414061772404256,0.0,-0.00244140625,0.0034766830503940582,-0.00689697265625,0.3880208432674408,0.4609375,multitask,512,all,0.9403928346199398
arc_challenge_pair,1/2,1,2,rand_matched,0.004671223819120014,0.00894819911018362,0.0046712239272892475,0.00221609091386199,0.0029541016556322575,0.3101562559604645,0.3421874940395355,multitask,512,all,0.9403928346199398
