task,cand_name,cand_pos,cand_neg,method,slope,slope_std,mean_of_means,std_across_templates,worst_case_mean,anti_mean,anti_worst,basis_source,basis_k,v_est_templates,sharedness_decode_est
boolq,Yes/No,Yes,No,decode_est,0.038349141776090605,0.0,0.03834914043545723,0.0019313555676490068,0.03565399721264839,0.33984375,0.36328125,neutral,512,0,0.4051845626308846
boolq,Yes/No,Yes,No,decode_beta0.25,0.037278295935840526,0.0,0.037278298288583755,0.0022526453249156475,0.03409262001514435,0.3424479067325592,0.37109375,neutral,512,0,0.4051845626308846
boolq,Yes/No,Yes,No,decode_beta0.5,0.03574312868486458,0.0,0.03574312850832939,0.0026187978219240904,0.03206586092710495,0.3333333432674408,0.359375,neutral,512,0,0.4051845626308846
boolq,Yes/No,Yes,No,decode_beta0.75,0.03371828569814705,0.0,0.0337182842195034,0.00300414371304214,0.029571034014225006,0.3307291567325592,0.36328125,neutral,512,0,0.4051845626308846
boolq,Yes/No,Yes,No,decode_fixed,0.03122626462401158,0.0,0.03122626431286335,0.003385600633919239,0.026653623208403587,0.3268229067325592,0.36328125,neutral,512,0,0.4051845626308846
boolq,Yes/No,Yes,No,rand_matched,-0.009970363615343066,0.019262149089989,-0.009970364160835743,0.001512773334980011,-0.011849619448184967,0.5596354007720947,0.569531261920929,neutral,512,0,0.4051845626308846
rte,True/False,True,False,decode_est,0.017277358205794544,0.0,0.01727735809981823,0.009485244750976562,0.010392963886260986,0.3984375,0.484375,neutral,512,0,0.3864789144085736
rte,True/False,True,False,decode_beta0.25,0.01727648524612729,0.0,0.01727648638188839,0.009366922080516815,0.01046634092926979,0.3971354067325592,0.48046875,neutral,512,0,0.3864789144085736
rte,True/False,True,False,decode_beta0.5,0.01711227817995514,0.0,0.017112279310822487,0.00916215404868126,0.010069288313388824,0.39453125,0.4765625,neutral,512,0,0.3864789144085736
rte,True/False,True,False,decode_beta0.75,0.016764437901046734,0.0,0.016764437779784203,0.008864326402544975,0.009553968906402588,0.3893229067325592,0.47265625,neutral,512,0,0.3864789144085736
rte,True/False,True,False,decode_fixed,0.016226745658315847,0.0,0.016226746141910553,0.008475777693092823,0.00892634317278862,0.38671875,0.46484375,neutral,512,0,0.3864789144085736
rte,True/False,True,False,rand_matched,-0.000501241768362867,0.004424331670946442,-0.0005012417677789927,0.0019634130876511335,-0.003250186098739505,0.4906249940395355,0.51953125,neutral,512,0,0.3864789144085736
sst2,Good/Bad,Good,Bad,decode_est,0.00992338453958279,0.0,0.00992338452488184,0.012552855536341667,-0.0007392577826976776,0.40625,0.43359375,neutral,512,0,0.39101856396036994
sst2,Good/Bad,Good,Bad,decode_beta0.25,0.011478514378909834,0.0,0.011478514410555363,0.012954505160450935,0.00021241232752799988,0.4010416567325592,0.44921875,neutral,512,0,0.39101856396036994
sst2,Good/Bad,Good,Bad,decode_beta0.5,0.012956410260307484,0.0,0.012956410646438599,0.013240538537502289,0.001144111156463623,0.40234375,0.44921875,neutral,512,0,0.39101856396036994
sst2,Good/Bad,Good,Bad,decode_beta0.75,0.014288426261491786,0.0,0.014288426376879215,0.013384278863668442,0.0020120181143283844,0.3919270932674408,0.453125,neutral,512,0,0.39101856396036994
sst2,Good/Bad,Good,Bad,decode_fixed,0.015410615292868555,0.0,0.01541061606258154,0.01337075512856245,0.0027733221650123596,0.3958333432674408,0.46484375,neutral,512,0,0.39101856396036994
sst2,Good/Bad,Good,Bad,rand_matched,0.0012045021741240573,0.011359832936766835,0.0012045021867379546,0.011351298540830612,-0.008226815611124039,0.5049479007720947,0.559374988079071,neutral,512,0,0.39101856396036994
