task,cand_name,cand_pos,cand_neg,method,slope,slope_std,mean_of_means,std_across_templates,worst_case_mean,anti_mean,anti_worst,basis_source,basis_k,v_est_templates,sharedness_decode_est
boolq,yes/no,yes,no,decode_est,0.0015869140152062768,0.0,0.0015869140625,0.002389482920989394,-0.00042724609375,0.3515625,0.3828125,neutral,512,all,0.5654998581375278
boolq,yes/no,yes,no,decode_beta0.25,0.0009358723679421632,0.0,0.0009358723764307797,0.002232214668765664,-0.00115966796875,0.3619791567325592,0.390625,neutral,512,all,0.5654998581375278
boolq,yes/no,yes,no,decode_beta0.5,0.001485188757821259,0.0,0.0014851888408884406,0.0028525185771286488,-0.00091552734375,0.34765625,0.37109375,neutral,512,all,0.5654998581375278
boolq,yes/no,yes,no,decode_beta0.75,0.00014241536033902482,0.0,0.00014241535973269492,0.0030689346604049206,-0.0029296875,0.3697916567325592,0.4453125,neutral,512,all,0.5654998581375278
boolq,yes/no,yes,no,decode_fixed,0.000406901029540071,0.0,0.00040690103196538985,0.00157144945114851,-0.00146484375,0.34375,0.3671875,neutral,512,all,0.5654998581375278
boolq,yes/no,yes,no,rand_matched,-0.00048828123544808504,0.007928921009132256,-0.00048828125,0.001370344660244882,-0.0020385743118822575,0.3843750059604645,0.40703123807907104,neutral,512,all,0.5654998581375278
rte,yes/no,yes,no,decode_est,0.0020548501991773586,0.0,0.0020548503380268812,0.0004710220091510564,0.00140380859375,0.3658854067325592,0.39453125,neutral,512,all,0.6114402622183003
rte,yes/no,yes,no,decode_beta0.25,0.0031534829789355502,0.0,0.0031534831505268812,0.0005041304975748062,0.00244140625,0.3723958432674408,0.390625,neutral,512,all,0.6114402622183003
rte,yes/no,yes,no,decode_beta0.5,0.004699706891187819,0.0,0.00469970703125,0.00133814150467515,0.0029296875,0.33984375,0.34375,neutral,512,all,0.6114402622183003
rte,yes/no,yes,no,decode_beta0.75,0.006876627399227199,0.0,0.0068766274489462376,0.001918701222166419,0.0045166015625,0.3294270932674408,0.34765625,neutral,512,all,0.6114402622183003
rte,yes/no,yes,no,decode_fixed,0.008076985436370409,0.0,0.008076985366642475,0.004142104648053646,0.002685546875,0.3125,0.359375,neutral,512,all,0.6114402622183003
rte,yes/no,yes,no,rand_matched,-0.0014607746960488548,0.008177361837198754,-0.0014607746852561831,0.001767543493770063,-0.0036987303756177425,0.3934895992279053,0.4203124940395355,neutral,512,all,0.6114402622183003
sst2,Good/Bad,Good,Bad,decode_est,0.03175862535560254,0.0,0.0317586250603199,0.00596238486468792,0.02337646484375,0.09765625,0.12890625,neutral,512,all,0.5722623648059085
sst2,Good/Bad,Good,Bad,decode_beta0.25,0.03124999906867745,0.0,0.03125,0.0067417374812066555,0.021728515625,0.1067708358168602,0.14453125,neutral,512,all,0.5722623648059085
sst2,Good/Bad,Good,Bad,decode_beta0.5,0.030456542061074312,0.0,0.03045654296875,0.0056621418334543705,0.022705078125,0.1028645858168602,0.125,neutral,512,all,0.5722623648059085
sst2,Good/Bad,Good,Bad,decode_beta0.75,0.02775065021463284,0.0,0.02775065042078495,0.0048361350782215595,0.021728515625,0.1015625,0.1328125,neutral,512,all,0.5722623648059085
sst2,Good/Bad,Good,Bad,decode_fixed,0.02419026620615722,0.0,0.02419026754796505,0.006472093053162098,0.016845703125,0.12890625,0.171875,neutral,512,all,0.5722623648059085
sst2,Good/Bad,Good,Bad,rand_matched,-0.0009114583061697601,0.01694022376130606,-0.0009114583372138441,0.0024121853057295084,-0.0033325194381177425,0.3817708492279053,0.4359374940395355,neutral,512,all,0.5722623648059085
