task,cand_name,cand_pos,cand_neg,method,slope,slope_std,mean_of_means,std_across_templates,worst_case_mean,anti_mean,anti_worst,basis_source,basis_k,v_est_templates,sharedness_decode_est
csqa_pair,yes/no,yes,no,decode_est,0.011392717220602911,0.0,0.011392717249691486,0.006301673129200935,0.002509981393814087,0.375,0.44140625,neutral,512,all,0.5992693753890896
csqa_pair,yes/no,yes,no,decode_beta0.25,0.012980738888758253,0.0,0.012980739586055279,0.005799479316920042,0.004788212478160858,0.3541666567325592,0.40234375,neutral,512,all,0.5992693753890896
csqa_pair,yes/no,yes,no,decode_beta0.5,0.014568844996824513,0.0,0.014568845741450787,0.005097064655274153,0.007360510528087616,0.34375,0.39453125,neutral,512,all,0.5992693753890896
csqa_pair,yes/no,yes,no,decode_beta0.75,0.015960998357504655,0.0,0.015960998833179474,0.004184858873486519,0.010059870779514313,0.3346354067325592,0.3671875,neutral,512,all,0.5992693753890896
csqa_pair,yes/no,yes,no,decode_fixed,0.016931605331154502,0.0,0.016931606456637383,0.003119941335171461,0.012614481151103973,0.3111979067325592,0.3515625,neutral,512,all,0.5992693753890896
csqa_pair,yes/no,yes,no,rand_matched,0.0026839449201838694,0.004102527947867411,0.0026839450001716614,0.0017265912611037493,0.0006078854203224182,0.48072919249534607,0.5078125,neutral,512,all,0.5992693753890896
arc_challenge_pair,Yes/No,Yes,No,decode_est,0.011263752641367336,0.0,0.011263753287494183,0.00417390326038003,0.005383782088756561,0.34765625,0.39453125,neutral,512,all,0.5604842257616862
arc_challenge_pair,Yes/No,Yes,No,decode_beta0.25,0.010600166700278718,0.0,0.010600167326629162,0.004429396707564592,0.00440400093793869,0.3489583432674408,0.42578125,neutral,512,all,0.5604842257616862
arc_challenge_pair,Yes/No,Yes,No,decode_beta0.5,0.00964750569122516,0.0,0.009647506289184093,0.004655915778130293,0.0032057538628578186,0.3567708432674408,0.453125,neutral,512,all,0.5604842257616862
arc_challenge_pair,Yes/No,Yes,No,decode_beta0.75,0.008374017724175719,0.0,0.008374017663300037,0.004814882762730122,0.0018133223056793213,0.3658854067325592,0.4765625,neutral,512,all,0.5604842257616862
arc_challenge_pair,Yes/No,Yes,No,decode_fixed,0.0068114174362594645,0.0,0.006811417639255524,0.004871945828199387,0.00030338019132614136,0.3880208432674408,0.51171875,neutral,512,all,0.5604842257616862
arc_challenge_pair,Yes/No,Yes,No,rand_matched,0.0015500942404043402,0.0011601494170293035,0.0015500943409278989,0.0011358719784766436,8.396953489864245e-05,0.4749999940395355,0.4937500059604645,neutral,512,all,0.5604842257616862
sst2,Good/Bad,Good,Bad,decode_est,0.03277405253726087,0.0,0.032774053514003754,0.006523217540234327,0.023655042052268982,0.0911458358168602,0.11328125,neutral,512,all,0.5791787957078273
sst2,Good/Bad,Good,Bad,decode_beta0.25,0.03227982822220042,0.0,0.03227983042597771,0.006339837331324816,0.023314014077186584,0.09765625,0.125,neutral,512,all,0.5791787957078273
sst2,Good/Bad,Good,Bad,decode_beta0.5,0.03105023410766619,0.0,0.03105023503303528,0.006178492680191994,0.022451087832450867,0.1015625,0.12890625,neutral,512,all,0.5791787957078273
sst2,Good/Bad,Good,Bad,decode_beta0.75,0.028871637219042463,0.0,0.02887163870036602,0.006090459879487753,0.0209101140499115,0.1171875,0.171875,neutral,512,all,0.5791787957078273
sst2,Good/Bad,Good,Bad,decode_fixed,0.025687177210434953,0.0,0.02568717859685421,0.006124135106801987,0.018642470240592957,0.1380208283662796,0.203125,neutral,512,all,0.5791787957078273
sst2,Good/Bad,Good,Bad,rand_matched,-0.00047651279539328504,0.017137606879351244,-0.00047651282511651516,0.0025561759248375893,-0.003210286842659116,0.4554687440395355,0.520312488079071,neutral,512,all,0.5791787957078273
