task,cand_name,cand_pos,cand_neg,method,slope,slope_std,mean_of_means,std_across_templates,worst_case_mean,anti_mean,anti_worst,basis_source,basis_k,v_est_templates,sharedness_decode_est
boolq,yes/no,yes,no,decode_est,0.0065917966785491505,0.0,0.006591796875,0.005573003552854061,-0.00128173828125,0.4401041567325592,0.45703125,neutral,512,all,0.5654998581375278
boolq,yes/no,yes,no,decode_beta0.25,0.007527669046491313,0.0,0.0075276694260537624,0.003939592279493809,0.0028076171875,0.4453125,0.45703125,neutral,512,all,0.5654998581375278
boolq,yes/no,yes,no,decode_beta0.5,0.007710774509784345,0.0,0.0077107748948037624,0.0024687612894922495,0.0045166015625,0.43359375,0.4453125,neutral,512,all,0.5654998581375278
boolq,yes/no,yes,no,decode_beta0.75,0.008117675539324416,0.0,0.00811767578125,0.0016833610134199262,0.00689697265625,0.4453125,0.46875,neutral,512,all,0.5654998581375278
boolq,yes/no,yes,no,decode_fixed,0.007141113068428246,0.0,0.00714111328125,0.0021446426399052143,0.00445556640625,0.4583333432674408,0.46484375,neutral,512,all,0.5654998581375278
boolq,yes/no,yes,no,rand_matched,-0.029146320745955284,0.039610839105778624,-0.02914631925523281,0.014044956304132938,-0.04697265475988388,0.5653645396232605,0.6156250238418579,neutral,512,all,0.5654998581375278
rte,yes/no,yes,no,decode_est,0.018829345141966786,0.0,0.018829345703125,0.02282022498548031,-0.012237548828125,0.4036458432674408,0.52734375,neutral,512,all,0.6114402622183003
rte,yes/no,yes,no,decode_beta0.25,0.02074177998080512,0.0,0.02074178121984005,0.018632130697369576,-0.004974365234375,0.3932291567325592,0.4921875,neutral,512,all,0.6114402622183003
rte,yes/no,yes,no,decode_beta0.5,0.024149576103203212,0.0,0.02414957620203495,0.012545095756649971,0.00640869140625,0.3828125,0.47265625,neutral,512,all,0.6114402622183003
rte,yes/no,yes,no,decode_beta0.75,0.024556477132743285,0.0,0.02455647848546505,0.005225392058491707,0.017578125,0.3828125,0.43359375,neutral,512,all,0.6114402622183003
rte,yes/no,yes,no,decode_fixed,0.02672322511504416,0.0,0.02672322653234005,0.006854909006506205,0.01715087890625,0.37890625,0.4140625,neutral,512,all,0.6114402622183003
rte,yes/no,yes,no,rand_matched,-0.030869546606057487,0.04309756152133214,-0.03086954914033413,0.014899889938533306,-0.04845581203699112,0.5630208253860474,0.620312511920929,neutral,512,all,0.6114402622183003
sst2,Good/Bad,Good,Bad,decode_est,0.011759439753708061,0.0,0.011759440414607525,0.18546605110168457,-0.14117431640625,0.4986979067325592,0.7265625,neutral,512,all,0.5722623648059085
sst2,Good/Bad,Good,Bad,decode_beta0.25,0.013753254798454396,0.0,0.013753254897892475,0.1899738311767578,-0.1441650390625,0.4921875,0.70703125,neutral,512,all,0.5722623648059085
sst2,Good/Bad,Good,Bad,decode_beta0.5,0.012125650680294107,0.0,0.012125651352107525,0.19007444381713867,-0.1500244140625,0.4973958432674408,0.71875,neutral,512,all,0.5722623648059085
sst2,Good/Bad,Good,Bad,decode_beta0.75,0.01298014284232826,0.0,0.012980143539607525,0.18577419221401215,-0.1495361328125,0.4947916567325592,0.72265625,neutral,512,all,0.5722623648059085
sst2,Good/Bad,Good,Bad,decode_fixed,0.009256998422036615,0.0,0.009256999008357525,0.17547611892223358,-0.14794921875,0.4986979067325592,0.73046875,neutral,512,all,0.5722623648059085
sst2,Good/Bad,Good,Bad,rand_matched,-0.02338053315737248,0.09196697528108708,-0.02338053286075592,0.011362957768142223,-0.034912109375,0.5322917103767395,0.5718749761581421,neutral,512,all,0.5722623648059085
