mode,n_tasks,rep,overlap,cross_dim,shared_count_all,shared_ratio_all
decode-last,2,0,0.9212970733642578,2487,114,0.045838359469240045
decode-last,2,1,0.9252417683601379,2519,114,0.04525605398967844
decode-last,2,2,0.9136180281639099,2635,99,0.03757115749525617
decode-last,2,3,0.9286855459213257,2519,113,0.044859071059944425
decode-last,2,4,0.9252417683601379,2519,114,0.04525605398967844
decode-last,2,5,0.9131796956062317,2666,110,0.04126031507876969
decode-last,2,6,0.9044292569160461,2779,97,0.03490464195753868
decode-last,2,7,0.9136180281639099,2635,99,0.03757115749525617
decode-last,2,8,0.9199797511100769,2632,107,0.040653495440729485
decode-last,2,9,0.9131796956062317,2666,110,0.04126031507876969
decode-last,2,10,0.9252417683601379,2519,114,0.04525605398967844
decode-last,2,11,0.9179068207740784,2476,113,0.04563812600969305
decode-last,2,12,0.9293383359909058,2464,114,0.04626623376623377
decode-last,2,13,0.9304597973823547,2493,117,0.04693140794223827
decode-last,2,14,0.9179068207740784,2476,113,0.04563812600969305
decode-last,2,15,0.9154654145240784,2625,106,0.04038095238095238
decode-last,2,16,0.9180992841720581,2557,97,0.037935080172076655
decode-last,2,17,0.9157480597496033,2177,111,0.05098759761139182
decode-last,2,18,0.9154654145240784,2625,106,0.04038095238095238
decode-last,2,19,0.9180992841720581,2557,97,0.037935080172076655
decode-last,3,0,0.9409581422805786,2654,111,0.04182366239638282
decode-last,3,1,0.940072774887085,2671,113,0.042306252339947586
decode-last,3,2,0.9403661489486694,2659,113,0.0424971793907484
decode-last,3,3,0.9214726090431213,2851,106,0.037179936864258155
decode-last,3,4,0.9390085339546204,2698,113,0.041882876204596
decode-last,3,5,0.9279677867889404,2527,107,0.042342698852394146
decode-last,3,6,0.9400091171264648,2690,114,0.04237918215613383
decode-last,3,7,0.926491379737854,2771,113,0.040779501984843015
decode-last,3,8,0.9328306913375854,2795,116,0.04150268336314848
decode-last,3,9,0.9352596402168274,2562,108,0.04215456674473068
decode-last,3,10,0.9326774477958679,2762,105,0.03801593048515568
decode-last,3,11,0.9325370192527771,2814,112,0.03980099502487562
decode-last,3,12,0.9388789534568787,2675,111,0.041495327102803736
decode-last,3,13,0.9402738213539124,2675,110,0.041121495327102804
decode-last,3,14,0.9399229884147644,2678,113,0.042195668409260645
decode-last,3,15,0.9390085339546204,2698,113,0.041882876204596
decode-last,3,16,0.9390097260475159,2699,110,0.04075583549462764
decode-last,3,17,0.9252007603645325,2870,101,0.03519163763066202
decode-last,3,18,0.9254482984542847,2810,101,0.03594306049822064
decode-last,3,19,0.9372236132621765,2690,112,0.041635687732342004
decode-last,4,0,0.9510805606842041,2807,111,0.03954399714998219
decode-last,4,1,0.9456889033317566,2724,111,0.040748898678414094
decode-last,4,2,0.9509191513061523,2759,110,0.03986951794128307
decode-last,4,3,0.9480497241020203,2689,109,0.0405355150613611
decode-last,4,4,0.9395216107368469,2908,101,0.03473177441540578
decode-last,4,5,0.9499598145484924,2771,111,0.04005774088776615
decode-last,4,6,0.9486991763114929,2823,112,0.03967410556145944
decode-last,4,7,0.9370341897010803,2903,103,0.03548053737512918
decode-last,4,8,0.9506415128707886,2821,108,0.03828429634881248
decode-last,4,9,0.9517430067062378,2791,113,0.040487280544607665
decode-last,4,10,0.9486855864524841,2776,110,0.03962536023054755
decode-last,4,11,0.9511487483978271,2787,112,0.040186580552565486
decode-last,4,12,0.9443029165267944,2867,113,0.0394140216253924
decode-last,4,13,0.9486855864524841,2776,110,0.03962536023054755
decode-last,4,14,0.9356849193572998,2865,102,0.0356020942408377
decode-last,4,15,0.9455112218856812,2807,115,0.04096900605628785
decode-last,4,16,0.9365527629852295,2912,100,0.034340659340659344
decode-last,4,17,0.9506415128707886,2821,108,0.03828429634881248
decode-last,4,18,0.9478629231452942,2893,113,0.03905979951607328
decode-last,4,19,0.948861837387085,2709,115,0.04245108896271687
decode-last,5,0,0.956276535987854,2869,116,0.040432206343673754
decode-last,5,1,0.9573239684104919,2836,106,0.03737658674188998
decode-last,5,2,0.9589086771011353,2931,111,0.037871033776867964
decode-last,5,3,0.9595288634300232,2901,111,0.038262668045501554
decode-last,5,4,0.9594348669052124,2868,117,0.04079497907949791
decode-last,5,5,0.9621624946594238,2864,110,0.03840782122905028
decode-last,5,6,0.9478347897529602,2915,101,0.034648370497427104
decode-last,5,7,0.9595380425453186,2912,114,0.03914835164835165
decode-last,5,8,0.9577755928039551,2852,114,0.03997194950911641
decode-last,5,9,0.957676351070404,2866,115,0.04012561060711793
decode-last,5,10,0.9621624946594238,2864,110,0.03840782122905028
decode-last,5,11,0.9583742022514343,2920,116,0.03972602739726028
decode-last,5,12,0.9514431357383728,2871,101,0.035179380006966215
decode-last,5,13,0.9607224464416504,2915,117,0.04013722126929674
decode-last,5,14,0.9602181911468506,2910,116,0.03986254295532646
decode-last,5,15,0.9583742022514343,2920,116,0.03972602739726028
decode-last,5,16,0.9573239684104919,2836,106,0.03737658674188998
decode-last,5,17,0.9583742022514343,2920,116,0.03972602739726028
decode-last,5,18,0.9576300978660583,2928,118,0.040300546448087435
decode-last,5,19,0.9602162837982178,2826,115,0.04069355980184006
decode-last,6,0,0.9690302014350891,2940,112,0.0380952380952381
decode-last,6,1,0.9716813564300537,2948,116,0.03934871099050204
decode-last,6,2,0.9708608984947205,2869,115,0.04008365284071105
decode-last,6,3,0.9696986079216003,2889,117,0.040498442367601244
decode-last,6,4,0.9690302014350891,2940,112,0.0380952380952381
decode-last,6,5,0.9716392159461975,2859,116,0.04057362714235747
decode-last,6,6,0.9686353206634521,2931,110,0.037529853292391675
decode-last,6,7,0.9712794423103333,2903,120,0.04133654839820875
decode-last,6,8,0.9696986079216003,2889,117,0.040498442367601244
decode-last,6,9,0.9716813564300537,2948,116,0.03934871099050204
decode-last,6,10,0.9712619781494141,2919,115,0.03939705378554299
decode-last,6,11,0.9696375131607056,2893,117,0.04044244728655375
decode-last,6,12,0.9712619781494141,2919,115,0.03939705378554299
decode-last,6,13,0.9708608984947205,2869,115,0.04008365284071105
decode-last,6,14,0.9712619781494141,2919,115,0.03939705378554299
decode-last,6,15,0.9724797010421753,2912,119,0.040865384615384616
decode-last,6,16,0.9701061844825745,2885,113,0.03916811091854419
decode-last,6,17,0.9691257476806641,2925,115,0.039316239316239315
decode-last,6,18,0.971372663974762,2923,120,0.041053711939787886
decode-last,6,19,0.9711230993270874,2903,115,0.03961419221495005
decode-last,7,0,0.9847411513328552,2953,117,0.03962072468675923
decode-last,7,1,0.9816521406173706,2932,116,0.03956343792633015
decode-last,7,2,0.9822371602058411,2962,115,0.03882511816340311
decode-last,7,3,0.9822371602058411,2962,115,0.03882511816340311
decode-last,7,4,0.9855778217315674,2970,116,0.039057239057239054
decode-last,7,5,0.98589688539505,2946,118,0.04005431093007468
decode-last,7,6,0.9838373064994812,2939,117,0.03980945899965975
decode-last,7,7,0.98589688539505,2946,118,0.04005431093007468
decode-last,7,8,0.9801966547966003,2889,112,0.03876773970231914
decode-last,7,9,0.9838373064994812,2939,117,0.03980945899965975
decode-last,7,10,0.9816521406173706,2932,116,0.03956343792633015
decode-last,7,11,0.9847411513328552,2953,117,0.03962072468675923
decode-last,7,12,0.9822371602058411,2962,115,0.03882511816340311
decode-last,7,13,0.9816521406173706,2932,116,0.03956343792633015
decode-last,7,14,0.9816117882728577,2927,114,0.03894772804919713
decode-last,7,15,0.9822371602058411,2962,115,0.03882511816340311
decode-last,7,16,0.9822371602058411,2962,115,0.03882511816340311
decode-last,7,17,0.98589688539505,2946,118,0.04005431093007468
decode-last,7,18,0.9847411513328552,2953,117,0.03962072468675923
decode-last,7,19,0.9816117882728577,2927,114,0.03894772804919713
decode-last,8,0,1.0,2961,119,0.04018912529550828
decode-last,8,1,1.0,2961,119,0.04018912529550828
decode-last,8,2,1.0,2961,119,0.04018912529550828
decode-last,8,3,1.0,2961,119,0.04018912529550828
decode-last,8,4,1.0,2961,119,0.04018912529550828
decode-last,8,5,1.0,2961,119,0.04018912529550828
decode-last,8,6,1.0,2961,119,0.04018912529550828
decode-last,8,7,1.0,2961,119,0.04018912529550828
decode-last,8,8,1.0,2961,119,0.04018912529550828
decode-last,8,9,1.0,2961,119,0.04018912529550828
decode-last,8,10,1.0,2961,119,0.04018912529550828
decode-last,8,11,1.0,2961,119,0.04018912529550828
decode-last,8,12,1.0,2961,119,0.04018912529550828
decode-last,8,13,1.0,2961,119,0.04018912529550828
decode-last,8,14,1.0,2961,119,0.04018912529550828
decode-last,8,15,1.0,2961,119,0.04018912529550828
decode-last,8,16,1.0,2961,119,0.04018912529550828
decode-last,8,17,1.0,2961,119,0.04018912529550828
decode-last,8,18,1.0,2961,119,0.04018912529550828
decode-last,8,19,1.0,2961,119,0.04018912529550828
prefill-last,2,0,0.8766824007034302,163,140,0.8588957055214724
prefill-last,2,1,0.8741663098335266,163,138,0.8466257668711656
prefill-last,2,2,0.8782270550727844,168,141,0.8392857142857143
prefill-last,2,3,0.9272674322128296,163,131,0.803680981595092
prefill-last,2,4,0.9183931350708008,160,127,0.79375
prefill-last,2,5,0.889574408531189,167,144,0.8622754491017964
prefill-last,2,6,0.9358298778533936,157,136,0.8662420382165605
prefill-last,2,7,0.9183931350708008,160,127,0.79375
prefill-last,2,8,0.8782270550727844,168,141,0.8392857142857143
prefill-last,2,9,0.884867787361145,158,135,0.8544303797468354
prefill-last,2,10,0.8741663098335266,163,138,0.8466257668711656
prefill-last,2,11,0.8674501776695251,155,132,0.8516129032258064
prefill-last,2,12,0.8597538471221924,164,139,0.8475609756097561
prefill-last,2,13,0.9357826709747314,161,133,0.8260869565217391
prefill-last,2,14,0.8597538471221924,164,139,0.8475609756097561
