kind,file,task,eval_mode,layer,seed,hf_id,hf_split,candidate_labels,Qs_shape,patch_desc,donor_source,donor_tasks,donor_pick,n_donor_bank,scan_effective,scan_skipped,base_acc_scan,ablt_acc_scan,flips_scan,anti_flips_scan,both_correct_scan,both_wrong_scan,patched_primary_method,patched_primary_rescued_pct,patched_primary_mean_dmargin,diff_time_shuffled_minus_patched_primary_rescued_pct,diff_patched_primary_minus_shared_randvec_rescued_pct,patched_0_rescued,patched_0_n,patched_0_rescued_pct,patched_0_mean_dmargin,patched_01_rescued,patched_01_n,patched_01_rescued_pct,patched_01_mean_dmargin,patched_full_rescued,patched_full_n,patched_full_rescued_pct,patched_full_mean_dmargin,patched_self_rescued,patched_self_n,patched_self_rescued_pct,patched_self_mean_dmargin,patched_transfer_rescued,patched_transfer_n,patched_transfer_rescued_pct,patched_transfer_mean_dmargin,control_time_shuffled_rescued,control_time_shuffled_n,control_time_shuffled_rescued_pct,control_time_shuffled_mean_dmargin,control_shared_mismatch_rescued,control_shared_mismatch_n,control_shared_mismatch_rescued_pct,control_shared_mismatch_mean_dmargin,control_shared_perm_rescued,control_shared_perm_n,control_shared_perm_rescued_pct,control_shared_perm_mean_dmargin,control_shared_signflip_rescued,control_shared_signflip_n,control_shared_signflip_rescued_pct,control_shared_signflip_mean_dmargin,control_shared_randvec_rescued,control_shared_randvec_n,control_shared_randvec_rescued_pct,control_shared_randvec_mean_dmargin,control_rand_subspace_rescued,control_rand_subspace_n,control_rand_subspace_rescued_pct,control_rand_subspace_mean_dmargin,control_patch_nonshared_rescued,control_patch_nonshared_n,control_patch_nonshared_rescued_pct,control_patch_nonshared_mean_dmargin
flipset,aqua_alpha_sweep_seed123.json,aqua,,10,123,,,ABCDE,3584x190,steps=0,,,,,254,0,0.41338582677165353,0.2755905511811024,64,29,41,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flipset,aqua_alpha_sweep_seed456.json,aqua,,10,456,,,ABCDE,3584x169,steps=0,,,,,254,0,0.4015748031496063,0.29133858267716534,65,37,37,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flipset,aqua_transfer_cross_mc_baselinecorrect_seed123.json,aqua,,10,123,,,ABCDE,3584x190,steps=0,cross_task_eval,"commonsenseqa,openbookqa",random,256,254,0,0.41338582677165353,0.2755905511811024,64,29,41,120,patched_self,100.0,5.189074993133545,,,,,,,,,,,,,,,64,64,100.0,5.189074993133545,61,64,95.3125,5.190681457519531,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flipset,aqua_transfer_same_task_seed123.json,aqua,,10,123,,,ABCDE,3584x190,steps=0,same_task_eval,aqua,random,254,254,0,0.41338582677165353,0.2755905511811024,64,29,41,120,patched_self,100.0,5.189074993133545,,,,,,,,,,,,,,,64,64,100.0,5.189074993133545,62,64,96.875,5.143482208251953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openanswer,gsm8k_genmath.json,gsm8k,gen_math,10,123,gsm8k/main,,,3584x190,"steps=0,1,2,3",,,,,256,0,0.03515625,0.05859375,7,13,2,234,patched_self,14.285714285714286,,0.0,0.0,,,,,,,,,,,,,1,7,14.285714285714286,,,,,,1,7,14.285714285714286,,,,,,,,,,,,,,1,7,14.285714285714286,,0,7,0.0,,3,7,42.857142857142854,
openanswer,gsm8k_pairlogprob.json,gsm8k,pair_logprob,10,123,gsm8k/main,,,3584x190,"steps=0,1,2,3",,,,,256,0,0.80078125,0.625,53,8,152,43,patched_self,98.11320754716981,10.441205978393555,-3.773584905660371,77.35849056603773,,,,,,,,,,,,,52,53,98.11320754716981,10.441205978393555,,,,,50,53,94.33962264150944,10.053207397460938,,,,,,,,,,,,,11,53,20.754716981132077,0.09415686130523682,10,53,18.867924528301888,0.6303381323814392,3,53,5.660377358490566,0.2226167768239975
openanswer,humaneval_gencode_compile.json,humaneval,gen_code_compile,10,123,openai_humaneval,test,,3584x190,"steps=0,1,2,3",,,,,0,164,,,0,0,0,0,patched_self,10.526315789473685,,0.0,-5.263157894736841,,,,,,,,,,,,,2,19,10.526315789473685,,,,,,2,19,10.526315789473685,,,,,,,,,,,,,,3,19,15.789473684210526,,5,19,26.31578947368421,,0,19,0.0,
openanswer,humaneval_pairlogprob.json,humaneval,pair_logprob,10,123,openai_humaneval,test,,3584x190,"steps=0,1,2,3",,,,,164,0,0.6829268292682927,0.6951219512195121,5,7,107,45,patched_self,80.0,3.919372081756592,0.0,80.0,,,,,,,,,,,,,4,5,80.0,3.919372081756592,,,,,4,5,80.0,2.954876661300659,,,,,,,,,,,,,0,5,0.0,-0.7276772260665894,1,5,20.0,-0.11909005790948868,0,5,0.0,-0.052741408348083496
subspace_mc,aqua.json,aqua,,10,123,,,ABCDE,3584x190,,,,,,254,0,0.41338582677165353,0.2755905511811024,64,29,41,120,patched_0,100.0,5.1890749065205455,-1.5625,79.6875,64,64,100.0,5.1890749065205455,64,64,100.0,5.1890749065205455,64,64,100.0,5.1890749065205455,,,,,,,,,63,64,98.4375,5.171447346918285,,,,,,,,,,,,,13,64,20.3125,0.7729076333343983,23,64,35.9375,1.4208112843334675,0,64,0.0,2.1606683731079102e-07
subspace_mc,arc_challenge.json,arc_challenge,,10,123,,,ABCD,3584x190,,,,,,255,1,0.9058823529411765,0.5137254901960784,108,8,123,16,patched_0,100.0,9.372807964682579,0.0,63.888888888888886,108,108,100.0,9.372807964682579,108,108,100.0,9.372807964682579,108,108,100.0,9.372807964682579,,,,,,,,,108,108,100.0,9.361393508535844,,,,,,,,,,,,,39,108,36.111111111111114,1.7799473873994969,65,108,60.18518518518518,2.988849757446183,0,108,0.0,-5.342342235423901e-07
subspace_mc,commonsenseqa.json,commonsenseqa,,10,123,,,ABCDE,3584x190,,,,,,256,0,0.8671875,0.59765625,77,8,145,26,patched_0,100.0,8.11723030232764,0.0,61.03896103896104,77,77,100.0,8.11723030232764,77,77,100.0,8.11723030232764,77,77,100.0,8.11723030232764,,,,,,,,,77,77,100.0,8.101711891688309,,,,,,,,,,,,,30,77,38.96103896103896,1.5545239510474267,43,77,55.84415584415584,2.602022914143352,0,77,0.0,-9.103254838423296e-07
subspace_mc,logiqa.json,logiqa,,10,123,,,ABCD,3584x190,,,,,,256,0,0.47265625,0.39453125,45,25,76,110,patched_0,100.0,5.974016189575195,0.0,64.44444444444444,45,45,100.0,5.974016189575195,45,45,100.0,5.974016189575195,45,45,100.0,5.974016189575195,,,,,,,,,45,45,100.0,6.01071400642395,,,,,,,,,,,,,16,45,35.55555555555556,0.588188378016154,18,45,40.0,0.8205998208787706,0,45,0.0,6.092919243706597e-07
subspace_mc,openbookqa.json,openbookqa,,10,123,,,ABCD,3584x190,,,,,,256,0,0.859375,0.45703125,107,4,113,32,patched_0,100.0,8.289876717830372,-0.9345794392523317,66.35514018691589,107,107,100.0,8.289876717830372,107,107,100.0,8.289876717830372,107,107,100.0,8.289876717830372,,,,,,,,,106,107,99.06542056074767,8.248568821733244,,,,,,,,,,,,,36,107,33.64485981308411,1.498662706847503,51,107,47.66355140186916,2.2723147490314233,0,107,0.0,5.214013785959404e-07
subspace_mc,piqa.json,piqa,,10,123,,,AB,3584x190,,,,,,256,0,0.87109375,0.7734375,37,12,186,21,patched_0,100.0,5.722948335312508,0.0,43.24324324324324,37,37,100.0,5.722948335312508,37,37,100.0,5.722948335312508,37,37,100.0,5.722948335312508,,,,,,,,,37,37,100.0,5.689002320573136,,,,,,,,,,,,,21,37,56.75675675675676,1.1743023846600507,18,37,48.648648648648646,1.417075691996394,0,37,0.0,-3.2218726905616553e-07
subspace_mc,qasc.json,qasc,,10,123,,,ABCDEFGH,3584x190,,,,,,256,0,0.80859375,0.40234375,110,6,97,43,patched_0,100.0,8.833465647697448,0.0,60.90909090909091,110,110,100.0,8.833465647697448,110,110,100.0,8.833465647697448,110,110,100.0,8.833465647697448,,,,,,,,,110,110,100.0,8.807955605333502,,,,,,,,,,,,,43,110,39.09090909090909,1.8416864731095053,55,110,50.0,2.400287093899467,0,110,0.0,-6.198883056640625e-07
