kind,file,task,eval_mode,layer,seed,hf_id,hf_split,candidate_labels,Qs_shape,patch_desc,donor_source,donor_tasks,donor_pick,n_donor_bank,scan_effective,scan_skipped,base_acc_scan,ablt_acc_scan,flips_scan,anti_flips_scan,both_correct_scan,both_wrong_scan,patched_primary_method,patched_primary_rescued_pct,patched_primary_mean_dmargin,diff_time_shuffled_minus_patched_primary_rescued_pct,diff_patched_primary_minus_shared_randvec_rescued_pct,patched_0_rescued,patched_0_n,patched_0_rescued_pct,patched_0_mean_dmargin,patched_01_rescued,patched_01_n,patched_01_rescued_pct,patched_01_mean_dmargin,patched_full_rescued,patched_full_n,patched_full_rescued_pct,patched_full_mean_dmargin,patched_self_rescued,patched_self_n,patched_self_rescued_pct,patched_self_mean_dmargin,patched_transfer_rescued,patched_transfer_n,patched_transfer_rescued_pct,patched_transfer_mean_dmargin,control_time_shuffled_rescued,control_time_shuffled_n,control_time_shuffled_rescued_pct,control_time_shuffled_mean_dmargin,control_shared_mismatch_rescued,control_shared_mismatch_n,control_shared_mismatch_rescued_pct,control_shared_mismatch_mean_dmargin,control_shared_perm_rescued,control_shared_perm_n,control_shared_perm_rescued_pct,control_shared_perm_mean_dmargin,control_shared_signflip_rescued,control_shared_signflip_n,control_shared_signflip_rescued_pct,control_shared_signflip_mean_dmargin,control_shared_randvec_rescued,control_shared_randvec_n,control_shared_randvec_rescued_pct,control_shared_randvec_mean_dmargin,control_rand_subspace_rescued,control_rand_subspace_n,control_rand_subspace_rescued_pct,control_rand_subspace_mean_dmargin,control_patch_nonshared_rescued,control_patch_nonshared_n,control_patch_nonshared_rescued_pct,control_patch_nonshared_mean_dmargin
flipset,aqua_flipset_alpha_sweep_seed123.json,aqua,,10,123,,,ABCDE,4096x97,steps=0,,,,,254,0,0.20866141732283464,0.2204724409448819,42,45,11,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flipset,aqua_flipset_alpha_sweep_seed456.json,aqua,,10,456,,,ABCDE,4096x105,steps=0,,,,,254,0,0.20866141732283464,0.18110236220472442,43,36,10,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flipset,aqua_flipset_transfer_cross_generative_seed123.json,aqua,,10,123,,,ABCDE,4096x97,steps=0,cross_task_eval,"gsm8k,strategyqa",random,256,254,0,0.20866141732283464,0.2204724409448819,42,45,11,156,patched_self,73.80952380952381,3.3110270500183105,,,,,,,,,,,,,,,31,42,73.80952380952381,3.3110270500183105,33,42,78.57142857142857,3.444992780685425,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flipset,aqua_flipset_transfer_cross_mc_baselinecorrect_seed123.json,aqua,,10,123,,,ABCDE,4096x97,steps=0,cross_task_eval,"commonsenseqa,openbookqa",random,256,254,0,0.20866141732283464,0.2204724409448819,42,45,11,156,patched_self,73.80952380952381,3.3110270500183105,,,,,,,,,,,,,,,31,42,73.80952380952381,3.3110270500183105,33,42,78.57142857142857,3.3867831230163574,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flipset,aqua_flipset_transfer_cross_mc_baselinecorrect_seed456.json,aqua,,10,456,,,ABCDE,4096x105,steps=0,cross_task_eval,"commonsenseqa,openbookqa",random,256,254,0,0.20866141732283464,0.18110236220472442,43,36,10,165,patched_self,79.06976744186046,3.567549705505371,,,,,,,,,,,,,,,34,43,79.06976744186046,3.567549705505371,35,43,81.3953488372093,3.6397814750671387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flipset,aqua_flipset_transfer_same_task_seed123.json,aqua,,10,123,,,ABCDE,4096x97,steps=0,same_task_eval,aqua,random,254,254,0,0.20866141732283464,0.2204724409448819,42,45,11,156,patched_self,73.80952380952381,3.3110270500183105,,,,,,,,,,,,,,,31,42,73.80952380952381,3.3110270500183105,32,42,76.19047619047619,3.292548418045044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flipset,flipset_sweep_transfer.json,aqua,,10,123,,,ABCDE,4096x97,steps=0,cross_task_eval,"gsm8k,commonsenseqa,strategyqa",cyclic,192,254,0,0.20866141732283464,0.2204724409448819,42,45,11,156,patched_self,73.80952380952381,3.3116629123687744,,,,,,,,,,,,,,,31,42,73.80952380952381,3.3116629123687744,33,42,78.57142857142857,3.4120163917541504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openanswer,gsm8k_genmath.json,gsm8k,gen_math,10,123,gsm8k/main,,,4096x97,"steps=0,1,2,3",,,,,256,0,0.0390625,0.03125,9,7,1,239,patched_self,88.88888888888889,,-11.111111111111114,88.88888888888889,,,,,,,,,,,,,8,9,88.88888888888889,,,,,,7,9,77.77777777777777,,,,,,,,,,,,,,0,9,0.0,,0,9,0.0,,0,9,0.0,
openanswer,gsm8k_pairlogprob.json,gsm8k,pair_logprob,10,123,gsm8k/main,,,4096x97,steps=0,,,,,256,0,0.625,0.59375,31,23,129,73,patched_self,35.483870967741936,1.5506091117858887,0.0,32.25806451612903,,,,,,,,,,,,,11,31,35.483870967741936,1.5506091117858887,,,,,11,31,35.483870967741936,1.536723256111145,,,,,,,,,,,,,1,31,3.225806451612903,-0.34435272216796875,0,31,0.0,-0.26384562253952026,0,31,0.0,8.61082810388325e-07
openanswer,humaneval_gencode_compile.json,humaneval,gen_code_compile,10,123,openai_humaneval,test,,4096x97,"steps=0,1,2,3",,,,,0,164,,,0,0,0,0,patched_self,21.05263157894737,,0.0,-5.263157894736839,,,,,,,,,,,,,8,38,21.05263157894737,,,,,,8,38,21.05263157894737,,,,,,,,,,,,,,10,38,26.31578947368421,,7,38,18.42105263157895,,2,38,5.2631578947368425,
