pool,comparison,metric,n,mean_delta,ci_low,ci_high,win_rate,sign_test_p
repair_controls_l28,random_vs_orig,catastrophic_failure_rate,5.0,0.2,0.07999999999999999,0.32,0.0,0.125
repair_controls_l28,random_vs_orig,flip_rate,5.0,0.16,-0.040000000000000036,0.32,0.2,0.375
repair_controls_l28,random_vs_orig,gold_margin_var,5.0,-8.626302083333335e-05,-0.00011165364583333336,-6.087239583333332e-05,1.0,0.0625
repair_controls_l28,random_vs_orig,mean_utility,5.0,0.0002499999999999999,-0.0016250000000000008,0.001999999999999999,0.4,1.0
repair_controls_l28,random_vs_orig,template_mean_range,5.0,-0.009687499999999998,-0.014687500000000001,-0.0053125,1.0,0.0625
repair_controls_l28,random_vs_orig,template_mean_std,5.0,-0.0031443029149706217,-0.004907236404003475,-0.0014245620920255448,1.0,0.0625
repair_controls_l28,random_vs_orig,worst_case_template,5.0,0.0046875,0.0028125,0.0071874999999999994,1.0,0.0625
repair_controls_l28,repair_vs_orig,catastrophic_failure_rate,5.0,0.08000000000000003,-0.2,0.36000000000000004,0.2,1.0
repair_controls_l28,repair_vs_orig,flip_rate,5.0,0.040000000000000015,-0.24000000000000005,0.36000000000000004,0.2,1.0
repair_controls_l28,repair_vs_orig,gold_margin_var,5.0,-0.00012451171875,-0.0001521402994791667,-9.688313802083332e-05,1.0,0.0625
repair_controls_l28,repair_vs_orig,mean_utility,5.0,0.0013125,-0.0045625,0.004749999999999999,0.8,0.375
repair_controls_l28,repair_vs_orig,template_mean_range,5.0,-0.008124999999999999,-0.0115625,-0.004687499999999999,1.0,0.0625
repair_controls_l28,repair_vs_orig,template_mean_std,5.0,-0.003600479121731005,-0.005203474764452239,-0.0019974834790097706,1.0,0.0625
repair_controls_l28,repair_vs_orig,worst_case_template,5.0,0.0046875,-0.00125,0.008757812499999957,0.8,0.375
repair_controls_l28,repair_vs_random_mean,catastrophic_failure_rate,5.0,-0.11999999999999997,-0.31999999999999995,0.16,0.8,0.375
repair_controls_l28,repair_vs_random_mean,flip_rate,5.0,-0.12,-0.31999999999999995,0.16,0.8,0.375
repair_controls_l28,repair_vs_random_mean,gold_margin_var,5.0,-3.8248697916666655e-05,-7.01904296875e-05,-6.266276041666638e-06,0.8,0.375
repair_controls_l28,repair_vs_random_mean,mean_utility,5.0,0.0010624999999999996,-0.0030640625000000004,0.003749999999999999,0.8,0.375
repair_controls_l28,repair_vs_random_mean,template_mean_range,5.0,0.0015625,0.00031249999999999957,0.0031250000000000006,0.0,0.25
repair_controls_l28,repair_vs_random_mean,template_mean_std,5.0,-0.00045617620676038326,-0.001042162056351628,0.00013704044085969467,0.6,1.0
repair_controls_l28,repair_vs_random_mean,worst_case_template,5.0,0.0,-0.0040625,0.003125,0.6,0.625
repair_controls_l28,repair_vs_shrink,catastrophic_failure_rate,5.0,0.040000000000000036,-0.15999999999999998,0.24000000000000005,0.4,1.0
repair_controls_l28,repair_vs_shrink,flip_rate,5.0,0.0,-0.20000000000000004,0.24,0.6,1.0
repair_controls_l28,repair_vs_shrink,gold_margin_var,5.0,-6.217447916666664e-05,-9.863281250000002e-05,-2.4291992187499974e-05,0.8,0.375
repair_controls_l28,repair_vs_shrink,mean_utility,5.0,0.00018750000000000017,-0.004203124999999999,0.00375,0.6,1.0
repair_controls_l28,repair_vs_shrink,template_mean_range,5.0,-0.0025000000000000005,-0.0031250000000000015,-0.0018749999999999993,1.0,0.0625
repair_controls_l28,repair_vs_shrink,template_mean_std,5.0,-0.0014417068049458685,-0.0017157306432928003,-0.0010691876911937757,1.0,0.0625
repair_controls_l28,repair_vs_shrink,worst_case_template,5.0,0.0009374999999999997,-0.004375,0.004375,0.8,0.375
repair_controls_l28,shrink_vs_orig,catastrophic_failure_rate,5.0,0.03999999999999998,-0.12000000000000006,0.2,0.4,1.0
repair_controls_l28,shrink_vs_orig,flip_rate,5.0,0.04,-0.12000000000000006,0.20000000000000004,0.4,1.0
repair_controls_l28,shrink_vs_orig,gold_margin_var,5.0,-6.233723958333337e-05,-0.00010416666666666666,-7.771809895833372e-06,0.8,0.375
repair_controls_l28,shrink_vs_orig,mean_utility,5.0,0.0011249999999999997,-0.0007499999999999996,0.0033749999999999987,0.6,1.0
repair_controls_l28,shrink_vs_orig,template_mean_range,5.0,-0.005625,-0.008749999999999999,-0.0028125,1.0,0.0625
repair_controls_l28,shrink_vs_orig,template_mean_std,5.0,-0.002158772316785136,-0.0034877441211594385,-0.0008298005124108339,1.0,0.0625
repair_controls_l28,shrink_vs_orig,worst_case_template,5.0,0.00375,0.0018749999999999995,0.006562500000000001,1.0,0.0625
OVERALL,random_vs_orig,catastrophic_failure_rate,5.0,0.2,0.07999999999999999,0.32,0.0,0.125
OVERALL,random_vs_orig,flip_rate,5.0,0.16,-0.040000000000000036,0.32,0.2,0.375
OVERALL,random_vs_orig,gold_margin_var,5.0,-8.626302083333335e-05,-0.00011165364583333336,-6.087239583333332e-05,1.0,0.0625
OVERALL,random_vs_orig,mean_utility,5.0,0.0002499999999999999,-0.0016250000000000008,0.001999999999999999,0.4,1.0
OVERALL,random_vs_orig,template_mean_range,5.0,-0.009687499999999998,-0.014687500000000001,-0.0053125,1.0,0.0625
OVERALL,random_vs_orig,template_mean_std,5.0,-0.0031443029149706217,-0.004907236404003475,-0.0014245620920255448,1.0,0.0625
OVERALL,random_vs_orig,worst_case_template,5.0,0.0046875,0.0028125,0.0071874999999999994,1.0,0.0625
OVERALL,repair_vs_orig,catastrophic_failure_rate,5.0,0.08000000000000003,-0.2,0.36000000000000004,0.2,1.0
OVERALL,repair_vs_orig,flip_rate,5.0,0.040000000000000015,-0.24000000000000005,0.36000000000000004,0.2,1.0
OVERALL,repair_vs_orig,gold_margin_var,5.0,-0.00012451171875,-0.0001521402994791667,-9.688313802083332e-05,1.0,0.0625
